,Year,Quarter,StateName,RegisteredUsers,AppOpens
328,2020,2,bihar,10603767,218435035
329,2020,2,chandigarh,336351,3451250
330,2020,2,chhattisgarh,3401658,68493384
331,2020,2,dadra & nagar haveli & daman & diu,244814,4505127
332,2020,2,delhi,8391139,142852253
333,2020,2,goa,430639,5310126
334,2020,2,gujarat,11392657,155264359
335,2020,2,haryana,7682878,143650123
336,2020,2,himachal pradesh,1249867,16125580
337,2020,2,jammu & kashmir,845294,9856653
338,2020,2,jharkhand,4061035,76339276
339,2020,2,karnataka,18655366,490510075
340,2020,2,kerala,4728844,45832953
341,2020,2,ladakh,53034,695673
342,2020,2,lakshadweep,3187,29202
343,2020,2,madhya pradesh,11374423,253770044
344,2020,2,maharashtra,28765086,506354812
345,2020,2,manipur,215496,3011491
346,2020,2,meghalaya,136211,2205253
347,2020,2,mizoram,55574,739308
348,2020,2,nagaland,130205,2119279
349,2020,2,odisha,7258315,154682772
350,2020,2,puducherry,255600,3057608
351,2020,2,punjab,4225481,51289576
352,2020,2,rajasthan,13563201,329941181
353,2020,2,sikkim,119921,1912335
354,2020,2,tamil nadu,12150786,144907447
355,2020,2,telangana,13378191,367130505
356,2020,2,tripura,336666,4443221
357,2020,2,uttar pradesh,22498519,383703534
358,2020,2,uttarakhand,2148567,31074793
359,2020,2,west bengal,13222022,198589332
360,2020,3,andaman & nicobar islands,41335,515565
361,2020,3,andhra pradesh,15692405,696300382
362,2020,3,arunachal pradesh,206046,4003421
363,2020,3,assam,2830011,41875278
364,2020,3,bihar,11763213,266652644
365,2020,3,chandigarh,362588,4888739
366,2020,3,chhattisgarh,3799386,86918606
367,2020,3,dadra & nagar haveli & daman & diu,267946,4421499
368,2020,3,delhi,9044174,190025029
369,2020,3,goa,474962,6129766
370,2020,3,gujarat,12467847,184402472
371,2020,3,haryana,8398816,188614769
372,2020,3,himachal pradesh,1378634,18411750
373,2020,3,jammu & kashmir,949819,11443454
374,2020,3,jharkhand,4480027,99318784
375,2020,3,karnataka,20487550,693683212
376,2020,3,kerala,5582300,64309022
377,2020,3,ladakh,58401,1015680
378,2020,3,lakshadweep,3644,32128
379,2020,3,madhya pradesh,12564224,324850994
380,2020,3,maharashtra,31409513,668197101
381,2020,3,manipur,258563,3552375
382,2020,3,meghalaya,157741,2384534
383,2020,3,mizoram,68315,924865
384,2020,3,nagaland,173106,2868642
385,2020,3,odisha,7901755,205597666
386,2020,3,puducherry,285173,4222159
387,2020,3,punjab,4694233,58946732
388,2020,3,rajasthan,14969412,436682870
389,2020,3,sikkim,134773,2156470
390,2020,3,tamil nadu,13643451,194683284
391,2020,3,telangana,14590882,527781925
392,2020,3,tripura,376731,5777908
393,2020,3,uttar pradesh,24838116,450784508
394,2020,3,uttarakhand,2365438,40377348
